"","donorName","inconclusive","donorTau","totalNumberOfCells","totalNumberOfDeterminedCells","totalNumberOfUndeterminedCells","skewed"
"1","AIDA001",TRUE,0.40410719351048,1588,762,826,FALSE
"2","AIDA002",FALSE,0.144689895816207,2019,1742,277,TRUE
"3","AIDA003",FALSE,0.315198678766592,2290,1991,299,TRUE
"4","AIDA004",FALSE,0.484733916257284,1586,1040,546,FALSE
"5","AIDA005",FALSE,0.431115916728141,2537,1277,1260,FALSE
"6","AIDA006",FALSE,0.479555381793856,2200,1230,970,FALSE
"7","AIDA007",TRUE,0.328179965888534,2270,934,1336,TRUE
"8","AIDA008",FALSE,0.542465066470507,1708,954,754,FALSE
"9","AIDA009",FALSE,0.429373675759328,3701,1403,2298,FALSE
"10","AIDA010",FALSE,0.486364047458988,1436,706,730,FALSE
"11","AIDA011",FALSE,0.239297654487105,2047,1725,322,TRUE
"12","AIDA012",FALSE,0.510486652971565,1667,989,678,FALSE
"13","AIDA013",FALSE,0.397157384038006,1635,917,718,TRUE
"14","AIDA014",FALSE,0.287803773654165,2009,1692,317,TRUE
"15","AIDA015",FALSE,0.431077024087037,817,551,266,FALSE
"16","AIDA016",FALSE,0.216238375529046,2423,2161,262,TRUE
"17","AIDA017",FALSE,0.3894810721223,2315,1550,765,TRUE
"18","AIDA018",FALSE,0.592347146379662,2428,1799,629,FALSE
"19","AIDA019",FALSE,0.550570614099276,1973,988,985,FALSE
"20","AIDA020",TRUE,0.65542844086211,1888,878,1010,TRUE
"21","AIDA021",FALSE,0.499781922412159,2257,1300,957,FALSE
"22","AIDA022",TRUE,0.833432374080664,2106,1742,364,TRUE
"23","AIDA023",FALSE,0.122128461333416,1633,1438,195,TRUE
"24","AIDA024",FALSE,0.488289656284227,2281,1520,761,FALSE
"25","AIDA025",FALSE,0.310578706113129,1747,1470,277,TRUE
"26","AIDA026",FALSE,0.656471741198967,1808,984,824,TRUE
"27","AIDA027",TRUE,0.270210495170897,1657,1355,302,TRUE
"28","AIDA028",TRUE,0.269892313337716,2272,1882,390,TRUE
"29","AIDA029",FALSE,0.540259720760007,2697,1193,1504,FALSE
"30","AIDA030",FALSE,0.621278935814118,1506,820,686,TRUE
"31","AIDA031",TRUE,0.681453072157781,1518,1179,339,TRUE
"32","AIDA032",FALSE,0.362568859406115,1237,766,471,TRUE
"33","AIDA033",FALSE,0.57593658254694,2267,1296,971,FALSE
"34","AIDA034",FALSE,0.608817387963562,2633,1838,795,TRUE
"35","AIDA035",FALSE,0.567349457551251,2376,1349,1027,FALSE
"36","AIDA036",FALSE,0.53457933770164,2688,1858,830,FALSE
"37","AIDA037",TRUE,0.313112647224785,2544,2063,481,TRUE
"38","AIDA038",FALSE,0.12852160774337,2240,1924,316,TRUE
"39","AIDA039",FALSE,0.457768790780768,2200,1218,982,FALSE
"40","AIDA040",FALSE,0.672027979133019,2026,1206,820,TRUE
"41","AIDA041",FALSE,0.697991920768671,1752,1495,257,TRUE
"42","AIDA042",FALSE,0.461853561709579,1862,1016,846,FALSE
"43","AIDA043",FALSE,0.655247588560697,2670,1911,759,TRUE
"44","AIDA044",FALSE,0.40310485388587,2030,1150,880,FALSE
"45","AIDA045",FALSE,0.196420215405815,2014,1868,146,TRUE
