,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
1,AIDA001,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f185,TRUE,0.404107194,1588,762,826,FALSE
2,AIDA002,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f186,FALSE,0.144689896,2019,1742,277,TRUE
3,AIDA003,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f187,FALSE,0.315198679,2290,1991,299,TRUE
4,AIDA004,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f188,FALSE,0.484733916,1586,1040,546,FALSE
5,AIDA005,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f189,FALSE,0.431115917,2537,1277,1260,FALSE
6,AIDA006,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f190,FALSE,0.479555382,2200,1230,970,FALSE
7,AIDA007,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f191,TRUE,0.328179966,2270,934,1336,TRUE
8,AIDA008,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f192,FALSE,0.542465066,1708,954,754,FALSE
9,AIDA009,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f193,FALSE,0.429373676,3701,1403,2298,FALSE
10,AIDA010,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f194,FALSE,0.486364047,1436,706,730,FALSE
11,AIDA011,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f195,FALSE,0.239297654,2047,1725,322,TRUE
12,AIDA012,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f196,FALSE,0.510486653,1667,989,678,FALSE
13,AIDA013,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f197,FALSE,0.397157384,1635,917,718,TRUE
14,AIDA014,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f198,FALSE,0.287803774,2009,1692,317,TRUE
15,AIDA015,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f199,FALSE,0.431077024,817,551,266,FALSE
16,AIDA016,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f200,FALSE,0.216238376,2423,2161,262,TRUE
17,AIDA017,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f201,FALSE,0.389481072,2315,1550,765,TRUE
18,AIDA018,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f202,FALSE,0.592347146,2428,1799,629,FALSE
19,AIDA019,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f203,FALSE,0.550570614,1973,988,985,FALSE
20,AIDA020,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f204,TRUE,0.655428441,1888,878,1010,TRUE
21,AIDA021,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f205,FALSE,0.499781922,2257,1300,957,FALSE
22,AIDA022,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f206,TRUE,0.833432374,2106,1742,364,TRUE
23,AIDA023,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f207,FALSE,0.122128461,1633,1438,195,TRUE
24,AIDA024,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f208,FALSE,0.488289656,2281,1520,761,FALSE
25,AIDA025,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f209,FALSE,0.310578706,1747,1470,277,TRUE
26,AIDA026,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f210,FALSE,0.656471741,1808,984,824,TRUE
27,AIDA027,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f211,TRUE,0.270210495,1657,1355,302,TRUE
28,AIDA028,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f212,TRUE,0.269892313,2272,1882,390,TRUE
29,AIDA029,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f213,FALSE,0.540259721,2697,1193,1504,FALSE
30,AIDA030,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f214,FALSE,0.621278936,1506,820,686,TRUE
31,AIDA031,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f215,TRUE,0.681453072,1518,1179,339,TRUE
32,AIDA032,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f216,FALSE,0.362568859,1237,766,471,TRUE
33,AIDA033,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f217,FALSE,0.575936583,2267,1296,971,FALSE
34,AIDA034,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f218,FALSE,0.608817388,2633,1838,795,TRUE
35,AIDA035,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f219,FALSE,0.567349458,2376,1349,1027,FALSE
36,AIDA036,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f220,FALSE,0.534579338,2688,1858,830,FALSE
37,AIDA037,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f221,TRUE,0.313112647,2544,2063,481,TRUE
38,AIDA038,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f222,FALSE,0.128521608,2240,1924,316,TRUE
39,AIDA039,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f223,FALSE,0.457768791,2200,1218,982,FALSE
40,AIDA040,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f224,FALSE,0.672027979,2026,1206,820,TRUE
41,AIDA041,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f225,FALSE,0.697991921,1752,1495,257,TRUE
42,AIDA042,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f226,FALSE,0.461853562,1862,1016,846,FALSE
43,AIDA043,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f227,FALSE,0.655247589,2670,1911,759,TRUE
44,AIDA044,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f228,FALSE,0.403104854,2030,1150,880,FALSE
45,AIDA045,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f229,FALSE,0.196420215,2014,1868,146,TRUE
