"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"2","A1BG-AS1",0.342698386638936,0.825475388255422,0.018,0.009,1,0.465087940143979,"AIDA137",0.0220319506102086,-3.10288664265396,115,0.0356748757241687
"3","A2M",0.299430814885039,-2.06462279286287,0.005,0.016,1,0.523703507780907,"AIDA062",0.0235036024210254,3.08017788338392,37,0.0376664757127342
"4","A2M-AS1",0.16943623156001,1.24134617900383,0.045,0.017,1,0.770993716295211,"AIDA026",3.68206038610017e-06,-4.30387812309796,108,3.00503637962369e-05
"5","A2ML1-AS1",0.00608038313434278,3.71153703318767,0.011,0,1,2.21606905429824,"AIDA014",0.00608038313434278,3.71153703318767,1,0.0125585182188435
"8","AAGAB",0.238007884122601,0.527669365123249,0.134,0.101,1,0.62340865649715,"AIDA157",0.00310002168479187,-1.53918076798956,113,0.00744196209999142
"10","AAMDC",0.294366375387573,-0.302425881036072,0.04,0.056,1,0.531111799693335,"AIDA155",0.000967142020162536,-2.00392469571783,112,0.00298304206693894
"11","AAMP",0.117488858659849,0.28234612157724,0.19,0.151,1,0.930003315111072,"AIDA034",2.18223679198501e-05,-5.87609975968472,100,0.000137713491884224
"15","AARS",0.057311468326755,-5.24289821610905,0.003,0.017,1,1.24175846472252,"AIDA009",2.41204357288162e-05,-5.24289821610905,117,0.000149218865809168
"18","AASDH",0.318300608477906,0.498997906922643,0.053,0.038,1,0.497162531161139,"AIDA135",0.00589855269794266,6.64124159968842,112,0.0122661939697503
"21","AATBC",0.70256960852298,-0.39317023785736,0.01,0.013,1,0.153310640675843,"AIDA077",0.000461577179829984,3.09369856515705,86,0.0016537445026452
"23","AATK",0.405830721302854,-0.65274736596442,0,0.013,1,0.391655080054529,"AIDA038",0.00992974390604602,3.76696407084356,69,0.0186935969301974
"24","ABALON",0.399651576898795,-1.05444758441219,0.006,0.014,1,0.398318469101976,"AIDA102",0.0211782419560776,-3.84357765076401,69,0.0345191877130478
"26","ABCA1",0.304538471178283,0.606362526411778,0.043,0.03,1,0.516357836807531,"AIDA119",2.89073707363689e-06,-3.92264745385112,120,2.4345259430716e-05
"28","ABCA2",0.928784353060572,0.369083707618093,0.02,0.019,1,0.032085109631123,"AIDA029",1.27991845071992e-06,-2.8002874823252,120,1.1918781710552e-05
"32","ABCA7",0.805099879120562,0.29260570178266,0.098,0.095,1,0.0941502385635899,"AIDA155",0.0257551890381288,-4.46509161366417,103,0.0403909867695852
"34","ABCB1",0.832886546854886,0.588471796474571,0.036,0.032,1,0.0794141527715651,"AIDA128",2.80698464522673e-09,2.95549831317014,110,4.58748891557566e-08
"36","ABCB4",0.211806600931058,-0.447646797201531,0.008,0.017,1,0.674060509274508,"AIDA095",0.00574596979379936,-3.93341006187604,46,0.0120065684385933
"39","ABCB8",0.544283632061189,-0.437635167826693,0.105,0.148,1,0.264174725782853,"AIDA048",0.000325412100012682,1.56630460081937,101,0.0012474179470415
"40","ABCB9",0.543404028819207,0.7425424583017,0.011,0.006,1,0.26487714602953,"AIDA093",0.00104526831345971,3.22120291352367,97,0.00316586940524077
"43","ABCC11",0.263410415798265,-1.41771359825871,0,0.031,1,0.57936705612338,"AIDA172",1.50924628827177e-05,-4.23191628446747,12,0.00010093246461319
"44","ABCC2",0.151573242111783,2.14035115651032,0.013,0,1,0.819377459844303,"AIDA124",0.00037809132227229,6.33258498444455,10,0.00140844147916619
"45","ABCC3",0.289711964838239,1.17220360698626,0.027,0.016,1,0.538033568462368,"AIDA050",0.0149721167373015,-4.71927965421307,104,0.0259633083638393
"48","ABCC6",0.131404157367099,-2.11610319411397,0.003,0.012,1,0.881390894342233,"AIDA079",0.00367370952259414,4.23206694022909,38,0.0084805705900766
"49","ABCD1",0.28005223705427,-0.577543614169876,0.029,0.044,1,0.552760953841715,"AIDA044",0.00612857761619115,-2.14478530581934,121,0.0126312759776788
"51","ABCD3",0.333492751213981,-0.224898412298737,0.087,0.109,1,0.476913601453524,"AIDA129",0.0053045431488029,-1.7264156368961,102,0.0113495054376496
"52","ABCD4",0.499998374130398,-0.188402866249096,0.107,0.12,1,0.30103140787867,"AIDA067",0.0176891624258618,3.33282025835149,113,0.0297199286949731
"53","ABCE1",0.18175786315529,-0.453003708650192,0.116,0.15,1,0.74050679174219,"AIDA051",0.00296822623911049,-1.61961853517874,101,0.0071936341983133
"55","ABCF2",0.517262806011226,0.158401156074342,0.116,0.101,1,0.286288748586509,"AIDA041",0.0293647954011346,1.73909962836845,115,0.0450472934254274
"57","ABCG1",0.149299546013457,-0.944099895751092,0.035,0.057,1,0.825941512865399,"AIDA130",0.000185711463834663,5.26319316745249,112,0.000795830406283122
